RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4187288737,1,39,1,4,,,,1,,,,,4,2,,1,,7,11,,4'11,1.5,134,60.78,27.06,2,4,3,2,2,4,4,2,2,2,2,1
4187289383,1,56,1,4,,,,,1,,,,3,2,,1,,7,2,,5'4,1.63,135,61.23,23.17,1,3,1,2,1,6,1,6,3,1,1,1
4187289570,1,38,1,3,,,,1,,,,,3,4,,1,,7,3,,5 ft 9 in,1.75,236,107.05,34.85,4,4,3,4,4,5,5,5,5,4,4,4
4187290433,1,61,1,4,,,,1,,,,,2,4,,1,,7,11,,5' 4,1.63,150,68.04,25.75,1,4,2,1,1,2,1,1,2,1,1,1
4187291955,1,54,1,6,,,,1,,,,,3,3,,1,,7,9,,5.5,1.65,135,61.23,22.46,2,3,3,3,2,3,3,3,4,2,3,2
4187293269,1,31,1,2,,,,1,,,,,5,4,,1,,7,6,,5 5,1.65,145,65.77,24.13,4,5,5,4,4,2,2,4,5,2,3,4
4187293514,1,65,1,6,,,,1,,,,,2,4,,1,,7,10,,5feet 6 inches,1.68,198,89.81,31.96,2,2,2,2,2,2,2,2,2,2,1,1
4187294292,1,65,1,3,,,,1,,,,,2,4,,1,,7,6,,5,1.52,115,52.16,22.46,1,2,1,2,2,1,1,1,1,1,1,1
4187294343,1,49,1,3,,,,,,,1,,2,4,,1,,7,4,,5 6,1.68,142,64.41,22.92,3,3,2,4,2,4,4,4,4,3,3,3
4187295035,1,37,1,3,,,,,,,1,,2,0,caucasion,1,,7,8,,5'6,1.68,315,142.88,50.84,7,7,7,5,1,4,5,7,5,5,7,7
4187295545,1,52,1,2,,,,,1,,,,1,4,,1,,5,1,,5'6,1.68,125,56.7,20.18,1,1,1,1,1,1,1,1,1,1,1,1
4187296245,1,21,1,2,1,,,,,,,,2,2,,1,,7,1,,4 ft 10,1.47,115,52.16,24.03,1,1,1,1,1,1,1,1,1,1,1,1
4187296841,1,57,1,2,,,,1,,,,,4,1,,1,,7,4,,5-Jul,1.7,175,79.38,27.41,1,6,1,6,3,1,7,3,7,7,1,1
4187299942,1,50,1,4,,,,1,,,,,4,4,,1,,7,12,,5'0,1.52,205,92.99,40.04,4,3,5,4,3,3,2,3,3,4,2,5
4187300237,1,41,1,6,,,,1,,,,,4,3,,1,,7,10,,5'8,1.73,180,81.65,27.37,4,5,4,3,3,5,3,5,5,4,2,4
4187301147,1,34,1,3,1,,,,,,,,2,4,,1,,7,4,,5'8,1.73,150,68.04,22.81,3,4,4,3,4,4,5,5,4,5,5,5
